ID,Rent,Rent/SF,Bedrooms,Sq. Ft,Bathrooms,In-unit Washer/Dryer,Walk-In Closet,Pool,Playground,Fireplace,Dog Park,Fitness Center,Balcony,Zip Code Total Crime,Volleyball,Basketball,Tennis Court,Traffic per Intersection,
130,700, $1.21 ,1,580,1,0,0,1,1,1,0,0,1,27.97,0,0,0,141.2281,67220
131,850, $1.00 ,2,850,2,0,0,1,1,1,0,0,1,27.97,0,0,0,141.2281,67220
132,700, $1.01 ,1,690,1,0,1,1,0,1,0,0,1,60.701,0,0,0,47.5,67203
133,700, $1.18 ,1,595,1,0,0,0,0,0,0,0,1,38.87,0,0,0,25.8372,67208
134,714, $1.43 ,0,500,1,1,1,1,0,1,1,1,1,29.944,0,0,0,34.86201,67212
135,749, $1.00 ,1,750,1,1,1,1,0,1,1,1,1,29.944,0,0,0,34.86201,67212
136,829, $1.11 ,1,750,1,1,1,1,0,1,1,1,1,29.944,0,0,0,34.86201,67212
137,1064, $1.16 ,2,920,2,1,1,1,0,1,1,1,1,29.944,0,0,0,34.86201,67212
138,765, $1.39 ,1,550,1,0,0,1,1,1,0,1,1,61.497,0,0,0,100.1276,67209
139,793, $1.25 ,1,633,1,0,0,1,1,1,0,1,1,61.497,0,0,0,100.1276,67209
140,834, $1.13 ,1,738,1,0,1,1,1,1,0,1,1,61.497,0,0,0,100.1276,67209
141,974, $1.05 ,2,932,1.5,0,1,1,1,1,0,1,1,61.497,0,0,0,100.1276,67209
142,1149, $1.04 ,3,1100,2,0,0,1,1,1,0,1,1,61.497,0,0,0,100.1276,67209
